model,accuracy,f1,auroc,mcc
SVM_kmer,0.7126781695423856,0.7125344008006005,0.7915155077538769,0.4253562844813251
CNN,0.7579394848712178,0.7334801762114538,0.8456988494247124,0.5247231136497288
DNABERT2,0.8166332665330661,0.8061440677966102,0.8957537810475112,0.6369183864246266
